geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
1279945,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,酒泉市,,Asia/Shanghai,0
1280281,zh-CN,AS,亚洲,CN,中国,XZ,西藏自治区,,,昌都,,Asia/Shanghai,0
1280737,zh-CN,AS,亚洲,CN,中国,XZ,西藏自治区,,,拉萨市,,Asia/Shanghai,0
1281019,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,和田市,,Asia/Urumqi,0
1529102,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,乌鲁木齐市,,Asia/Urumqi,0
1529195,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,石河子市,,Asia/Urumqi,0
1529355,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,奎屯,,Asia/Urumqi,0
1529376,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,库尔勒市,,Asia/Urumqi,0
1529475,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,和静,,Asia/Urumqi,0
1529531,zh-CN,AS,亚洲,CN,中国,GS,甘肃,,,敦煌市,,Asia/Urumqi,0
1529569,zh-CN,AS,亚洲,CN,中国,XJ,新疆,,,延安北路,,Asia/Urumqi,0
1548466,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,大明,,Asia/Shanghai,0
1548657,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,甸上,,Asia/Shanghai,0
1548994,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,泰湾,,Asia/Shanghai,0
1549053,zh-CN,AS,亚洲,CN,中国,JS,江苏省,,,官塘,,Asia/Shanghai,0
1550540,zh-CN,AS,亚洲,CN,中国,GZ,贵州,,,柏梓,,Asia/Shanghai,0
1550722,zh-CN,AS,亚洲,CN,中国,GZ,贵州,,,坝艾,,Asia/Shanghai,0
1553008,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,晓山,,Asia/Shanghai,0
1553937,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,黄石村,,Asia/Shanghai,0
1553983,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,光明,,Asia/Shanghai,0
1555821,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,东石门村,,Asia/Shanghai,0
1557169,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,戴店村,,Asia/Shanghai,0
1783621,zh-CN,AS,亚洲,CN,中国,GZ,贵州,,,遵义市,,Asia/Shanghai,0
1783633,zh-CN,AS,亚洲,CN,中国,SD,山东省,,,邹城市,,Asia/Shanghai,0
1783651,zh-CN,AS,亚洲,CN,中国,AH,安徽,,,枞阳,,Asia/Shanghai,0
1783682,zh-CN,AS,亚洲,CN,中国,SN,陕西,,,紫阳城关镇,,Asia/Shanghai,0
1783683,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,雁江,,Asia/Shanghai,0
1783688,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,资兴,,Asia/Shanghai,0
1783745,zh-CN,AS,亚洲,CN,中国,SC,四川省,,,自贡,,Asia/Shanghai,0
1783763,zh-CN,AS,亚洲,CN,中国,HN,湖南,,,株洲,,Asia/Shanghai,0
